"","x","y","NDVI","Date"
"530",457125,6527135,0.519630491733551,2018-06-26
"813",457155,6527115,0.553454518318176,2018-06-26
"814",457165,6527115,0.531077861785889,2018-06-26
"953",457155,6527105,0.528286874294281,2018-06-26
"954",457165,6527105,0.518297851085663,2018-06-26
"955",457175,6527105,0.517027854919434,2018-06-26
"1093",457155,6527095,0.5351881980896,2018-06-26
"1094",457165,6527095,0.558252453804016,2018-06-26
"1095",457175,6527095,0.516178727149963,2018-06-26
"1096",457185,6527095,0.48192772269249,2018-06-26
"1097",457195,6527095,0.523809552192688,2018-06-26
"1233",457155,6527085,0.566909968852997,2018-06-26
"1234",457165,6527085,0.562149167060852,2018-06-26
"1235",457175,6527085,0.525855183601379,2018-06-26
"1236",457185,6527085,0.513210594654083,2018-06-26
"1237",457195,6527085,0.551695644855499,2018-06-26
"1238",457205,6527085,0.559121608734131,2018-06-26
"1367",457095,6527075,0.496710538864136,2018-06-26
"1369",457115,6527075,0.520331978797913,2018-06-26
"1370",457125,6527075,0.546887993812561,2018-06-26
"1371",457135,6527075,0.541666686534882,2018-06-26
"1372",457145,6527075,0.573015868663788,2018-06-26
"1373",457155,6527075,0.589285731315613,2018-06-26
"1374",457165,6527075,0.540284335613251,2018-06-26
"1375",457175,6527075,0.571312129497528,2018-06-26
"1376",457185,6527075,0.582508265972137,2018-06-26
"1377",457195,6527075,0.586206912994385,2018-06-26
"1378",457205,6527075,0.577327907085419,2018-06-26
"1379",457215,6527075,0.597981512546539,2018-06-26
"1380",457225,6527075,0.630931437015533,2018-06-26
"1504",457065,6527065,0.428766191005707,2018-06-26
"1505",457075,6527065,0.47054323554039,2018-06-26
"1506",457085,6527065,0.490880250930786,2018-06-26
"1507",457095,6527065,0.494983285665512,2018-06-26
"1508",457105,6527065,0.485182046890259,2018-06-26
"1509",457115,6527065,0.513236522674561,2018-06-26
"1510",457125,6527065,0.519116401672363,2018-06-26
"1511",457135,6527065,0.52491694688797,2018-06-26
"1512",457145,6527065,0.566805005073547,2018-06-26
"1513",457155,6527065,0.581047356128693,2018-06-26
"1514",457165,6527065,0.54692554473877,2018-06-26
"1515",457175,6527065,0.584158420562744,2018-06-26
"1516",457185,6527065,0.585702657699585,2018-06-26
"1517",457195,6527065,0.604150056838989,2018-06-26
"1518",457205,6527065,0.595695614814758,2018-06-26
"1519",457215,6527065,0.6180499792099,2018-06-26
"1520",457225,6527065,0.622673451900482,2018-06-26
"1521",457235,6527065,0.603741466999054,2018-06-26
"1644",457065,6527055,0.411682903766632,2018-06-26
"1646",457085,6527055,0.44042232632637,2018-06-26
"1647",457095,6527055,0.441896021366119,2018-06-26
"1649",457115,6527055,0.511705696582794,2018-06-26
